Country,Capital,Latitude,Longitude,COD3
Abkhazia,Sukhumi,43.001525,41.023415,
Afghanistan,Kabul,34.575503,69.240073,AFG
Aland Islands,Mariehamn,60.1,19.933333,ALD
Albania,Tirana,41.327546,19.818698,ALB
Algeria,Algiers,36.752887,3.042048,DZA
American Samoa,Pago Pago,-14.275632,-170.702036,ASM
Andorra,Andorra la Vella,42.506317,1.521835,AND
Angola,Luanda,-8.839988,13.289437,AGO
Anguilla,The Valley,18.214813,-63.057441,AIA
Antarctica,South Pole,-90,0,ATA
Antigua and Barbuda,St. John's,17.12741,-61.846772,ATG
Argentina,Buenos Aires,-34.603684,-58.381559,ARG
Armenia,Yerevan,40.179186,44.499103,ARM
Aruba,Oranjestad,12.509204,-70.008631,ABW
Australia,Canberra,-35.282,149.128684,AUS
Austria,Vienna,48.208174,16.373819,AUT
Azerbaijan,Baku,40.409262,49.867092,AZE
Bahamas,Nassau,25.047984,-77.355413,BHS
Bahrain,Manama,26.228516,50.58605,
Bangladesh,Dhaka,23.810332,90.412518,
Barbados,Bridgetown,13.113222,-59.598809,
Belarus,Minsk,53.90454,27.561524,BLR
Belgium,Brussels,50.85034,4.35171,BEL
Belize,Belmopan,17.251011,-88.75902,
Benin,Porto-Novo,6.496857,2.628852,
Bermuda,Hamilton,32.294816,-64.781375,
Bhutan,Thimphu,27.472792,89.639286,
Bolivia,La Paz,-16.489689,-68.119294,
Bosnia and Herzegovina,Sarajevo,43.856259,18.413076,BIH
Botswana,Gaborone,-24.628208,25.923147,
Bouvet Island,Bouvet Island,-54.43,3.38,
Brazil,Brasília,-15.794229,-47.882166,
British Indian Ocean Territory,Camp Justice,21.3419,55.4778,
British Virgin Islands,Road Town,18.428612,-64.618466,VGB
Brunei,Bandar Seri Begawan,4.903052,114.939821,
Bulgaria,Sofia,42.697708,23.321868,BGR
Burkina Faso,Ouagadougou,12.371428,-1.51966,
Burundi,Bujumbura,-3.361378,29.359878,
Cambodia,Phnom Penh,11.544873,104.892167,KHM
Cameroon,Yaoundé,3.848033,11.502075,
Canada,Ottawa,45.42153,-75.697193,CAN
Cape Verde,Praia,14.93305,-23.513327,
Cayman Islands,George Town,19.286932,-81.367439,
Central African Republic,Bangui,4.394674,18.55819,
Chad,N'Djamena,12.134846,15.055742,
Chile,Santiago,-33.44889,-70.669265,CHL
China,Beijing,39.904211,116.407395,CHN
Christmas Island,Flying Fish Cove,-10.420686,105.679379,
Cocos (Keeling) Islands,West Island,-12.188834,96.829316,
Colombia,Bogotá,4.710989,-74.072092,
Comoros,Moroni,-11.717216,43.247315,
Congo (DRC),Kinshasa,-4.441931,15.266293,
Congo (Republic),Brazzaville,-4.26336,15.242885,
Cook Islands,Avarua,-21.212901,-159.782306,
Costa Rica,San José,9.928069,-84.090725,
Côte d'Ivoire,Yamoussoukro,6.827623,-5.289343,
Croatia,Zagreb ,45.815011,15.981919,HRV
Cuba,Havana,23.05407,-82.345189,CUB
Curaçao,Willemstad,12.122422,-68.882423,
Cyprus,Nicosia,35.185566,33.382276,CYN
Czech Republic,Prague,50.075538,14.4378,CZE
Denmark,Copenhagen,55.676097,12.568337,DNK
Djibouti,Djibouti,11.572077,43.145647,
Dominica,Roseau,15.309168,-61.379355,
Dominican Republic,Santo Domingo,18.486058,-69.931212,
Ecuador,Quito,-0.180653,-78.467838,ECU
Egypt,Cairo,30.04442,31.235712,EGY
El Salvador,San Salvador,13.69294,-89.218191,
Equatorial Guinea,Malabo,3.750412,8.737104,
Eritrea,Asmara,15.322877,38.925052,
Estonia,Tallinn,59.436961,24.753575,EST
Ethiopia,Addis Ababa,8.980603,38.757761,
Falkland Islands (Islas Malvinas),Stanley,-51.697713,-57.851663,
Faroe Islands,Tórshavn,62.007864,-6.790982,FRO
Fiji,Suva,-18.124809,178.450079,
Finland,Helsinki,60.173324,24.941025,FIN
France,Paris,48.856614,2.352222,FRA
French Guiana,Cayenne,4.92242,-52.313453,
French Polynesia,Papeete,-17.551625,-149.558476,
French Southern Territories,Saint-Pierre ,-21.3419,55.4778,
Gabon,Libreville,0.416198,9.467268,
Gambia,Banjul,13.454876,-16.579032,
Georgia,Tbilisi,41.715138,44.827096,GEO
Germany,Berlin,52.520007,13.404954,DEU
Ghana,Accra,5.603717,-0.186964,
Gibraltar,Gibraltar,36.140773,-5.353599,
Greece,Athens,37.983917,23.72936,GRC
Greenland,Nuuk,64.18141,-51.694138,
Grenada,St. George's,12.056098,-61.7488,
Guadeloupe,Basse-Terre,16.014453,-61.706411,
Guam,Hagåtña,13.470891,144.751278,
Guatemala,Guatemala City,14.634915,-90.506882,
Guernsey,St. Peter Port,49.455443,-2.536871,
Guinea,Conakry,9.641185,-13.578401,
Guinea-Bissau,Bissau,11.881655,-15.617794,
Guyana,Georgetown,6.801279,-58.155125,
Haiti,Port-au-Prince,18.594395,-72.307433,
Honduras,Tegucigalpa,14.072275,-87.192136,
Hong Kong,Hong Kong,22.396428,114.109497,HKG
Hungary,Budapest,47.497912,19.040235,HUN
Iceland,Reykjavík,64.126521,-21.817439,ISL
India,New Delhi,28.613939,77.209021,IND
Indonesia,Jakarta,-6.208763,106.845599,IDN
Iran,Tehran,35.689198,51.388974,IRN
Iraq,Baghdad,33.312806,44.361488,IRO
Ireland,Dublin,53.349805,-6.26031,IRL
Isle of Man,Douglas,54.152337,-4.486123,IMN
Israel,Tel Aviv,32.0853,34.781768,ISR
